sample_id	gene_name	est_counts	tpm
1	NXNP1	0.0	0.0
1	NXPE1	0.0	0.0
1	NXPE2	0.0	0.0
1	NXPE2P1	0.0	0.0
1	NXPE3	127.253820023	4.31607600666
1	NXPE4	0.0	0.0
1	NXPH1	1.0	0.0633519
1	NXPH2	1.0	0.197772
1	NXPH3	0.0	0.0
1	NXPH4	13.999971	1.2034469
1	NXT1	145.0	23.9497
1	NXT1P1	0.0	0.0
1	NXT2	47.00002	4.445259
1	NYAP1	11.000002	0.7227
1	NYAP2	3.0366	0.113174
1	NYNRIN	6.0	0.120379
1	NYX	0.0	0.0
1	OACYLP	2.0	0.5126466
1	OAF	5.01838	1.2147612
1	OARD1	116.636828	13.900791
1	OAS1	23.09345	3.644908
1	OAS2	119.97668	9.99962
1	OAS3	36.10247	2.323543
1	OASL	83.72646441	5.027999837
1	OAT	71.99995	7.712875
1	OAZ1	734.6934	124.63008
1	OAZ2	698.20257	77.77186
1	OAZ3	9.3607376	0.85783552
1	OBFC1	37.00003	5.334506
1	OBP2A	1.0	0.371574
1	OBP2B	2.0	0.4617224
1	OBSCN	116.999960068	2.85100042414
1	OBSL1	4.0	0.1927215
1	OC90	0.0	0.0
1	OCA2	3.196281	0.286274
1	OCEL1	15.56095	3.582162
1	OCIAD1	715.248213666	154.050370571
1	OCIAD2	99.16084	32.273674
1	OCLM	39.0	11.9488
1	OCLN	77.89283	4.196325
1	OCM	2.0	0.740949
1	OCM2	2.0	0.672671
1	OCRL	85.99995	3.434004
1	OCSTAMP	1.0	0.0827775
1	ODAM	0.0	0.0
1	ODC1	1193.9995	113.2845
1	ODCP	24.0207	3.06452
1	ODF1	1.0	0.212756
1	ODF2	108.7238117	10.02905489
1	ODF2L	549.96475	70.688824
1	ODF3	13.0	1.59303
1	ODF3B	145.41345	34.894124
1	ODF3L1	9.0	1.40645
1	ODF3L2	0.0	0.0
1	ODF4	0.0	0.0
1	OFCC1	4.04001	2.68575
1	OFD1	792.98363	74.763024
1	OFD1P10Y	0.0	0.0
1	OFD1P11Y	0.0	0.0
1	OFD1P12Y	0.0	0.0
1	OFD1P13Y	0.0	0.0
1	OFD1P15Y	0.0	0.0
1	OFD1P16Y	0.0	0.0
1	OFD1P17	9.01655	0.574513
1	OFD1P18Y	0.0	0.0
1	OFD1P1Y	0.0	0.0
1	OFD1P2Y	0.0	0.0
1	OFD1P3Y	0.0	0.0
1	OFD1P4Y	0.0	0.0
1	OFD1P5Y	0.0	0.0
1	OFD1P6Y	0.0	0.0
1	OFD1P7Y	0.0	0.0
1	OFD1P8Y	0.0	0.0
1	OFD1P9Y	0.0	0.0
1	OGDH	148.29827	9.62008
1	OGDHL	3.0	0.4353349
1	OGFOD1	90.57111	10.63603
1	OGFOD1P1	0.0	0.0
1	OGFOD2	52.268267	6.8942464
